SIPARIS_ADEDI,GIYSI_GRUBU,GIYSI_CINSI,GIYSI_CINSI_DETAYI,ModelID,SipID,HataAdi,HataAdedi,Tarih
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,108,2024-06-04
22113,ÇOCUK,Elbise,3/4 kol,309,287,AKSESUAR HATASI,84,2024-01-30
15870,BAYAN,T-Shirt,Kısa Kol,300,278,KUMAŞ LEKE,45,2024-01-04
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,43,2024-06-03
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,32,2024-06-05
15870,BAYAN,T-Shirt,Kısa Kol,300,278,KUMAŞ LEKE,29,2024-01-03
15870,BAYAN,T-Shirt,Kısa Kol,300,278,KUMAŞ LEKE,29,2024-01-03
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,26,2024-06-01
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,GİR-ÇIK EŞTSZ.,26,2024-01-11
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,25,2024-01-30
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,25,2023-12-22
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,24,2023-12-18
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,23,2024-01-02
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,22,2024-06-06
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,21,2023-12-29
13392,BAYAN,T-Shirt,Kısa Kol,389,365,JUT,20,2024-06-04
32073,BAYAN,T-Shirt,Uzun Kol,297,275,GİR-ÇIK EŞTSZ.,20,2024-01-16
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,19,2023-12-29
32073,BAYAN,T-Shirt,Uzun Kol,297,275,PATLAK,19,2024-01-16
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,19,2023-12-15
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,18,2023-12-28
15870,BAYAN,T-Shirt,Kısa Kol,300,278,KUMAŞ LEKE,18,2024-01-04
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,18,2023-12-20
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,17,2023-12-19
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,17,2023-12-25
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,16,2024-02-15
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,15,2024-01-02
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,15,2024-01-17
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,14,2024-03-02
13392,BAYAN,T-Shirt,Kısa Kol,389,365,JUT,14,2024-06-03
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,14,2023-12-27
32073,BAYAN,T-Shirt,Uzun Kol,297,275,DİKİM LEKE,14,2024-01-16
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,14,2024-03-04
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,14,2024-01-18
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,13,2023-12-26
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,KUMAŞ LEKE,13,2024-05-18
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ GÖRÜNMESİ,13,2024-02-20
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,12,2024-01-24
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAŞ LEKE,12,2024-02-28
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,12,2023-12-27
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,12,2024-01-18
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,11,2023-12-19
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,11,2024-05-30
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,11,2024-01-24
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,11,2024-02-28
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,11,2024-02-15
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,RENK FARKI,11,2024-01-17
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,PATLAK,11,2024-01-12
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,KAPTIRMA,11,2024-01-12
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,11,2023-12-28
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,11,2024-03-01
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,11,2024-01-11
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,PATLAK,11,2024-07-05
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,KAPTIRMA,11,2024-01-10
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,10,2023-12-25
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,GİR-ÇIK EŞTSZ.,10,2024-01-10
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,10,2024-06-07
15870,BAYAN,T-Shirt,Kısa Kol,300,278,KAPTIRMA,10,2024-01-04
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,10,2024-03-05
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,GİR-ÇIK EŞTSZ.,9,2024-01-11
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,9,2023-12-21
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,9,2024-05-09
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,PATLAK,9,2024-01-10
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,9,2024-03-04
9476,BAYAN,Elbise,uzun kollu elbise,398,375,JUT,9,2024-07-04
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,9,2023-12-29
4637,BAYAN,Elbise,Kolsuz elbise,349,325,KUMAŞ LEKE,9,2024-03-29
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAŞ LEKE,9,2024-03-02
9476,BAYAN,Elbise,uzun kollu elbise,398,375,JUT,8,2024-06-26
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,8,2024-01-12
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,8,2024-01-19
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,SIMETRI,8,2024-03-13
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİM LEKE,8,2024-02-15
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAŞ LEKE,8,2024-02-29
19349,BAYAN,T-Shirt,Uzun Kol,427,404,SIMETRI,8,2024-07-29
15870,BAYAN,T-Shirt,Kısa Kol,300,278,KUMAŞ LEKE,8,2024-01-04
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,8,2024-06-03
15870,BAYAN,T-Shirt,Kısa Kol,300,278,SIMETRI,8,2024-01-03
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,PATLAK,8,2024-01-10
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,7,2024-06-05
